horizon_hours,feature,importance
2,NTU_LAG_6H,0.13772855699062347
2,NTU_DIFF_2H,0.06316152215003967
2,NTU_LAG_8H,0.05076850950717926
2,SIN_MONTH,0.03941550850868225
2,FILT_NTU_LAG_6H,0.03812630847096443
2,FILT_NTU_LAG_8H,0.03794357180595398
2,FILT_NTU_ROLL_MEAN_12H,0.03190716728568077
2,FILT_NTU_LAG_4H,0.02502029575407505
2,RIVER LEVEL,0.024958249181509018
2,NTU_LAG_4H,0.02365664206445217
2,FILT. NTU,0.023547064512968063
2,ALUM_LAG_10H,0.02285207062959671
2,RTD_FILT_NTU,0.02276398055255413
2,FILT_NTU_DIFF_2H,0.019757302477955818
2,R_W_FLOW_LAG_24H,0.01865263469517231
2,R_W_FLOW_LAG_12H,0.01828634925186634
2,R_W_NTU_LAG_4H,0.018109945580363274
2,NTU_LAG_2H,0.01713479869067669
2,R_W_FLOW_LAG_10H,0.015795662999153137
2,PHYS_BASE_NTU,0.01440092921257019
2,SIN_HOUR,0.013214915059506893
2,NTU_LAG_18H,0.012785134837031364
2,RTD_TAU_HOURS,0.01275376696139574
2,NTU_ROLL_STD_12H,0.012487403117120266
2,R_W_NTU_DIFF_2H,0.011808996088802814
2,R_W_NTU_ROLL_MEAN_12H,0.011692959815263748
2,FILT_NTU_ROLL_STD_12H,0.011445398442447186
2,R_W_NTU_LAG_2H,0.010850516147911549
2,R_W_FLOW_LAG_8H,0.010655645281076431
2,R_W_FLOW_LAG_4H,0.010650329291820526
2,ALUM_ROLL_STD_12H,0.010577189736068249
2,COS_HOUR,0.01049777865409851
2,R_W_NTU_ROLL_STD_12H,0.009719460271298885
2,R_W_NTU_LAG_12H,0.008893812075257301
2,RTD_ALUM,0.008661450818181038
2,FILT_NTU_LAG_18H,0.008500863797962666
2,ALUM_LAG_18H,0.008217758499085903
2,ALUM_LAG_6H,0.007921526208519936
2,NTU_LAG_10H,0.007918071001768112
2,R/W CLR,0.007247149478644133
2,FILT_NTU_LAG_10H,0.007139059714972973
2,R_W_FLOW_LAG_18H,0.006382038351148367
2,R_W_NTU_LAG_8H,0.0063708070665597916
2,R_W_FLOW_DIFF_2H,0.006322174333035946
2,NTU_LAG_12H,0.006312847137451172
2,RTD_R_W_NTU,0.006124779582023621
2,FILT_NTU_LAG_2H,0.006068323273211718
2,RTD_NTU,0.005585845559835434
2,R_W_NTU_LAG_24H,0.005382666829973459
2,R_W_NTU_LAG_18H,0.005072248168289661
2,R_W_NTU_LAG_10H,0.004763694945722818
2,FILT_NTU_LAG_24H,0.004754670429974794
2,ALUM_LAG_24H,0.00474446639418602
2,R/W FLOW,0.004703454207628965
2,ALUM_LAG_2H,0.004646860063076019
