origin_datetime,horizon_hours,scenario,predicted_NTU,delta_vs_baseline,elasticity
2026-02-01 07:00:00,2,baseline,0.29518643021583557,0.0,
2026-02-01 07:00:00,2,raw_NTU_plus_20pct,0.29518643021583557,0.0,0.0
2026-02-01 07:00:00,2,raw_NTU_plus_50pct,0.29518643021583557,0.0,0.0
2026-02-01 07:00:00,2,alum_plus_10pct,0.29518643021583557,0.0,0.0
2026-02-01 07:00:00,2,alum_minus_10pct,0.29518643021583557,0.0,-0.0
2026-02-01 07:00:00,4,baseline,0.3102823793888092,0.0,
2026-02-01 07:00:00,4,raw_NTU_plus_20pct,0.3102823793888092,0.0,0.0
2026-02-01 07:00:00,4,raw_NTU_plus_50pct,0.3102823793888092,0.0,0.0
2026-02-01 07:00:00,4,alum_plus_10pct,0.3102823793888092,0.0,0.0
2026-02-01 07:00:00,4,alum_minus_10pct,0.3102823793888092,0.0,-0.0
2026-02-01 07:00:00,6,baseline,0.3275665044784546,0.0,
2026-02-01 07:00:00,6,raw_NTU_plus_20pct,0.3275665044784546,0.0,0.0
2026-02-01 07:00:00,6,raw_NTU_plus_50pct,0.32772064208984375,0.00015413761138916016,0.0009411072822270107
2026-02-01 07:00:00,6,alum_plus_10pct,0.3275665044784546,0.0,0.0
2026-02-01 07:00:00,6,alum_minus_10pct,0.3275665044784546,0.0,-0.0
2026-02-01 07:00:00,8,baseline,0.3256436586380005,0.0,
2026-02-01 07:00:00,8,raw_NTU_plus_20pct,0.3256436586380005,0.0,0.0
2026-02-01 07:00:00,8,raw_NTU_plus_50pct,0.32732659578323364,0.0016829371452331543,0.010336065822820028
2026-02-01 07:00:00,8,alum_plus_10pct,0.3256436586380005,0.0,0.0
2026-02-01 07:00:00,8,alum_minus_10pct,0.3256436586380005,0.0,-0.0
2026-02-01 07:00:00,10,baseline,0.3518710136413574,0.0,
2026-02-01 07:00:00,10,raw_NTU_plus_20pct,0.3527836799621582,0.0009126663208007812,0.012968762492766902
2026-02-01 07:00:00,10,raw_NTU_plus_50pct,0.3527836799621582,0.0009126663208007812,0.00518750499710676
